pk_column,requested_datetime,closed_date,updated_datetime,open,closed,service_name,lat,long,district,deltaDate
20994,2016-11-21T14:45:00,2016-12-08T00:02:00,2016-12-08T00:02:00,0,1,Graffiti,32.7158219694,-117.150583221,3,17
20995,2016-11-21T11:35:00,2016-12-09T00:02:00,2016-12-09T00:02:00,0,1,Graffiti,32.7090692118,-117.035917136,4,18
20996,2016-11-21T10:42:00,2016-11-29T00:02:00,2016-11-29T00:02:00,0,1,Graffiti,32.7745577944,-117.205086344,2,8
20997,2016-11-21T09:41:00,2016-12-09T00:02:00,2017-09-18T13:37:00,0,1,Graffiti,32.7085076692,-117.144516064,8,18
20998,2016-11-21T08:17:00,2017-03-22T22:50:00,2017-03-22T22:50:00,0,1,Graffiti,32.9130137014,-117.122669891,6,121
20999,2016-11-21T07:37:00,2016-12-07T00:02:00,2016-12-07T00:02:00,0,1,Graffiti,32.5721673399,-117.092653195,8,16
21000,2016-11-20T16:05:00,2017-04-20T17:26:00,2017-04-20T17:26:00,0,1,Graffiti,32.7496814621,-117.096253925,9,151
21001,2016-11-20T15:34:00,2017-02-15T00:03:00,2017-02-15T00:03:00,0,1,Graffiti,32.7503613341,-117.155224528,3,87
21002,2016-11-20T14:43:00,2017-10-27T07:45:00,2017-10-27T07:45:00,0,1,Graffiti,32.8353562098,-117.19486502,6,341
21003,2016-11-20T14:28:00,2017-10-27T07:45:00,2017-10-27T07:45:00,0,1,Graffiti,32.9660429994,-117.067960154,5,341
21004,2016-11-20T14:11:00,2017-10-27T07:45:00,2017-10-27T07:45:00,0,1,Graffiti,32.6908741566,-117.048349148,4,341
21005,2016-11-20T14:10:00,2016-12-10T00:02:00,2017-09-18T13:37:00,0,1,Graffiti,32.6916905959,-117.048651734,4,20
21006,2016-11-20T14:09:00,2016-12-10T00:02:00,2016-12-10T00:02:00,0,1,Graffiti,32.6918087807,-117.048747456,4,20
21007,2016-11-20T14:05:00,2017-06-02T11:33:00,2017-06-02T11:34:00,0,1,Graffiti,32.6877876465,-117.049920922,4,194
21008,2016-11-20T13:30:00,2016-12-09T00:02:00,2016-12-09T00:02:00,0,1,Graffiti,32.7085907,-117.1444948,8,19
21009,2016-11-20T11:32:00,2017-06-02T11:33:00,2017-06-02T11:34:00,0,1,Graffiti,32.746259,-117.131121,3,194
21010,2016-11-20T09:03:00,2017-07-28T00:02:00,2017-07-28T00:02:00,0,1,Graffiti,32.8215121106,-117.159649087,6,250
21011,2016-11-19T18:00:00,2017-03-22T22:58:00,2017-03-22T22:58:00,0,1,Graffiti,32.7295058302,-117.173709145,2,123
21012,2016-11-19T16:50:00,2016-11-24T00:02:00,2016-11-24T00:02:00,0,1,Graffiti,32.740834,-117.129377,3,5
21014,2016-11-19T15:41:00,2016-12-03T00:01:00,2016-12-03T00:01:00,0,1,Graffiti,32.6982422266,-117.027734108,4,14
21015,2016-11-19T15:40:00,2016-12-03T00:01:00,2016-12-03T00:01:00,0,1,Graffiti,32.6981786499,-117.02674781,4,14
21016,2016-11-19T15:39:00,2016-11-22T00:02:00,2016-11-22T00:02:00,0,1,Graffiti,32.6977625722,-117.027008487,4,3
21017,2016-11-19T15:38:00,2016-11-22T00:02:00,2016-11-22T00:02:00,0,1,Graffiti,32.6978647476,-117.026631804,4,3
21018,2016-11-19T15:34:00,2016-11-29T00:02:00,2016-11-29T00:02:00,0,1,Graffiti,32.6910190797,-117.039905051,4,10
21019,2016-11-19T15:33:00,2016-12-09T00:02:00,2016-12-09T00:02:00,0,1,Graffiti,32.6910190797,-117.039905051,4,20
21020,2016-11-19T15:32:00,2016-12-09T00:02:00,2016-12-09T00:02:00,0,1,Graffiti,32.6903561969,-117.037111279,4,20
21021,2016-11-19T15:31:00,2016-12-09T00:02:00,2017-09-18T13:37:00,0,1,Graffiti,32.6905131061,-117.037047409,4,20
21022,2016-11-19T15:31:00,2017-03-19T09:35:00,2017-09-22T17:27:00,0,1,Graffiti,32.6907987614,-117.036966859,4,120
21023,2016-11-19T15:30:00,2017-06-02T11:33:00,2017-06-02T11:33:00,0,1,Graffiti,32.6907995157,-117.036947413,4,195
